index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
7.2	वसन्तयोः	7.2	--	वसन्त{पुं;6;द्वि}/वसन्त{पुं;7;द्वि}/वसन्त{नपुं;6;द्वि}/वसन्त{नपुं;7;द्वि}/वसन्ता{स्त्री;6;द्वि}/वसन्ता{स्त्री;7;द्वि}	वसन्त{पुं;7;द्वि}	अधिकरणम्,9.1	अधिकरणम्,17.1#अधिकरणम्,14.1#अधिकरणम्,13.1#अधिकरणम्,9.1#कर्ता,13.1#कर्म,13.1#षष्ठीसम्बन्धः,13.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,4.1	N7	वसन्तों_का	वसन्तों_का
8.1	रूक्षम्	8.1	रूक्षम्	रूक्ष{पुं;2;एक}/रूक्ष{नपुं;1;एक}/रूक्ष{नपुं;2;एक}	रूक्ष{पुं;2;एक}	कर्म,9.1	कर्म,9.1#कर्ता,9.1	N2	कठोर_को	कठोर_को
9.1	(भजेत्)	9.1	(भजेत्)	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP	भजे	भजे
10.1	शीतम्	11.1	शीतम्	शीत{पुं;2;एक}/शीत{नपुं;1;एक}/शीत{नपुं;2;एक}	शीत{पुं;2;एक}	कर्म,18.1	विशेषणम्,14.1#कर्म,17.1#कर्ता,17.1#कर्मसमानाधिकरणम्,17.1#कर्म,18.1	N2	शीत_को	शीत_को
11.1	घर्म-	10.1	घर्म-घनान्तयोः	घर्म	घर्म	इतरेतर-द्वन्द्वः,11.2	इतरेतर-द्वन्द्वः,11.2	CP	घर्म-	घर्म-
11.2	घनान्तयोः	10.2	--	घर्मघनान्त{पुं;7;द्वि}	घर्मघनान्त{पुं;7;द्वि}	अधिकरणम्,18.1	अधिकरणम्,17.1#अधिकरणम्,18.1	N7	-	-
12.1	अन्नपानम्	17.1	अन्नपानम्	अन्नपान{नपुं;2;एक}	अन्नपान{नपुं;2;एक}	कर्म,17.1	कर्म,17.1#कर्म,17.1;कर्मसमानाधिकरणम्,9.1	N2	-	-
13.1	समासेन	15.1	समासेन	समास{पुं;3;एक(सम्_अस्3;घञ्;दिवादिः)}/समास{पुं;3;एक(सम्_आस्1;घञ्;अदादिः)}	समास{पुं;3;एक(सम्_अस्3;घञ्;दिवादिः)}	क्रियाविशेषणम्,17.1	क्रियाविशेषणम्,17.1;क्रियाविशेषणम्,9.1	N3	समास_से	समास_से
14.1	विपरीतम्	16.1	विपरीतम्	विपरीत{पुं;2;एक(वि_परि_इ1;क्त;अदादिः)}/विपरीत{नपुं;1;एक(वि_परि_इ1;क्त;अदादिः)}/विपरीत{नपुं;2;एक(वि_परि_इ1;क्त;अदादिः)}	विपरीत{पुं;2;एक(वि_परि_इ1;क्त;अदादिः)}	विशेषणम्,12.1	कर्म,17.1#कर्ता,17.1#विशेषणम्,10.1#विशेषणम्,12.1	N2	उलटे_को	उलटे_को
15.1	अतः	13.1	अतः	अतः{अव्य}	अतः{अव्य}	सम्बन्धः,17.1	कार्य_द्योतकः,17.1#सम्बन्धः,17.1	NA	अतः	अतः
16.1	अन्यदा	14.1	अन्यदा	अन्यदा{अव्य}	अन्यदा{अव्य}	कालाधिकरणम्,17.1	कालाधिकरणम्,17.1	NA	अन्यदा	अन्यदा
17.1	(भजेत्)	18.1	(भजेत्)	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP	भजे	भजे
18.1	(भजेत्)	12.1	(भजेत्)	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP	भजे	भजे
19.1	.	19.1	.	-	-	-	-	FS		
